UF,Código IBGE,Nome do Município,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,Soma,Percentual de Envio
BA,290000,Gestão Estadual da Bahia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290035,ADUSTINA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290050,ERICO CARDOSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290080,ALCOBACA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,60.0
BA,290100,AMARGOSA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290115,AMERICA DOURADA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290120,ANAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,290140,ANGICAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290150,ANGUERA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290210,ARACI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290250,BAIANOPOLIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290290,BARRA DO CHOCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,290300,BARRA DO MENDES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290320,BARREIRAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290323,BARRO ALTO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290350,BELO CAMPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290390,BOM JESUS DA LAPA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290395,BOM JESUS DA SERRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290400,BONINAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290405,BONITO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290410,BOQUIRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290420,BOTUPORA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290440,BREJOLANDIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290450,BROTAS DE MACAUBAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290460,BRUMADO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290480,CAATIBA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0
BA,290500,CACULE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290520,CAETITE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290550,CALDEIRAO GRANDE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290570,CAMACARI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0
BA,290590,CAMPO ALEGRE DE LOURDES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290610,CANAPOLIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290620,CANARANA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290630,CANAVIEIRAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,70.0
BA,290650,CANDEIAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290660,CANDIBA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290670,CANDIDO SALES,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0
BA,290680,CANSANCAO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290682,CANUDOS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290685,CAPELA DO ALTO ALEGRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,290687,CAPIM GROSSO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,290690,CARAVELAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,70.0
BA,290710,CARINHANHA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
BA,290720,CASA NOVA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,80.0
BA,290730,CASTRO ALVES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,90.0
